state1,state2,interval,type,drainage1,disturbance1,cover_type1,soil1,age1,drainage2,disturbance2,cover_type2,soil2,age2,precip,mean_temp,max_temp,min_temp,id,longitude,latitude
0,0,12,Absent,20,NA,R,2A,70,20,NA,R,2A,70,959.5,1.635,7.205,-3.945,8809410301,-72.440994,48.266718
0,0,11,Absent,NA,EL,M,NA,50,NA,NA,R,NA,70,1109.0,2.505,8.515,-3.51,7608600802,-73.963818,46.370089
0,0,10,Absent,NA,NA,R,NA,70,20,NA,R,M1A,70,1005.5,2.84,8.86,-3.185,7608600802,-73.963818,46.370089
0,0,11,Absent,NA,NA,M,NA,50,NA,NA,M,NA,70,1083.0,2.81,8.870000000000001,-3.255,7608600801,-73.967639,46.366988
0,0,10,Absent,NA,NA,M,NA,70,20,NA,M,1AY,90,981.5,3.165,9.215,-2.8899999999999997,7608600801,-73.967639,46.366988
0,0,7,Absent,NA,NA,R,NA,50,20,NA,R,2AE,50,1061.5,1.5150000000000001,7.09,-4.0649999999999995,8809410302,-72.441228,48.262819
0,0,12,Absent,20,NA,R,2AE,50,30,NA,R,2AE,50,958.5,1.655,7.225,-3.925,8809410302,-72.441228,48.262819
0,0,5,Absent,30,NA,R,1A,50,30,NA,R,1A,50,1465.0,0.55,5.51,-4.404999999999999,9509700701,-71.157268,47.253703
0,0,5,Absent,30,NA,R,1A,50,30,NA,R,1A,50,1377.0,0.8200000000000001,5.805,-4.16,9509700701,-71.157268,47.253703
0,0,5,Absent,30,NA,R,1A,50,30,NA,R,1AY,70,1342.5,1.755,6.725,-3.215,9509700701,-71.157268,47.253703
0,0,9,Absent,NA,NA,F,NA,30,40,NA,F,5S,50,1052.5,4.4,9.59,-0.79,8509700701,-72.183266,46.133764
0,0,15,Absent,40,NA,F,5S,50,44,NA,F,5S,10,1135.0,4.92,9.975000000000001,-0.135,8509700701,-72.183266,46.133764
0,0,9,Absent,NA,NA,F,NA,10,40,NA,F,5S,30,1052.5,4.4,9.585,-0.79,8509700702,-72.180014,46.137137
0,0,15,Absent,40,NA,F,5S,30,33,NA,F,5S,50,1135.0,4.915,9.965,-0.135,8509700702,-72.180014,46.137137
0,0,8,Absent,NA,NA,R,NA,3070,NA,NA,M,NA,50,1033.0,3.7649999999999997,9.059999999999999,-1.5350000000000001,7000701602,-71.602787,46.314167
0,0,7,Absent,NA,NA,M,NA,50,NA,NA,M,NA,70,1036.0,3.67,9.035,-1.69,7000701602,-71.602787,46.314167
0,0,7,Absent,NA,NA,M,NA,70,40,NA,R,1A,70,1038.0,3.7199999999999998,8.925,-1.4849999999999999,7000701602,-71.602787,46.314167
0,0,17,Absent,40,NA,R,1A,70,44,CP,M,5S,VIR,1163.5,4.195,9.27,-0.885,7000701602,-71.602787,46.314167
0,0,8,Absent,NA,NA,M,NA,30,NA,NA,M,NA,12050,1029.5,3.79,9.09,-1.5150000000000001,7000701601,-71.599332,46.317359
0,0,7,Absent,NA,NA,M,NA,12050,NA,NA,M,NA,12030,1032.0,3.705,9.07,-1.665,7000701601,-71.599332,46.317359
0,0,7,Absent,NA,NA,M,NA,12030,63,NA,M,7E,5030,1035.0,3.75,8.96,-1.46,7000701601,-71.599332,46.317359
0,0,17,Absent,63,NA,M,7E,5030,53,EL,F,7E,JIN,1161.5,4.220000000000001,9.305,-0.86,7000701601,-71.599332,46.317359
0,0,12,Absent,NA,NA,R,NA,10,NA,NA,R,NA,30,904.0,1.655,6.575,-3.2700000000000005,7701300401,-67.016636,49.882455
0,0,10,Absent,NA,NA,R,NA,30,40,NA,R,5S,50,921.0,2.31,7.29,-2.67,7701300401,-67.016636,49.882455
0,0,12,Absent,NA,NA,R,NA,120,NA,NA,R,NA,120,903.5,1.655,6.575,-3.2700000000000005,7701300402,-67.010997,49.881397
0,0,10,Absent,NA,NA,R,NA,120,40,NA,NA,M7T,NA,921.0,2.315,7.295,-2.665,7701300402,-67.010997,49.881397
0,0,10,Absent,30,CP,F,1AY,VIN,30,CP,F,1AY,VIN,1048.0,2.69,7.6,-2.215,9203003101,-68.854754,47.882636
1,1,10,Present,20,CP,F,1A,70,20,NA,F,1A,70,1048.5,2.69,7.595000000000001,-2.2199999999999998,9203003102,-68.84931,47.883617
0,0,14,Absent,NA,NA,M,NA,30,30,NA,R,1A,30,980.0,1.02,6.4399999999999995,-4.405,8909203302,-70.551305,48.205817
0,0,14,Absent,NA,NA,M,NA,10,30,NA,M,1AM,10,979.5,1.01,6.4399999999999995,-4.41,8909203301,-70.556836,48.206741
0,0,5,Absent,30,NA,R,1AY,50,20,NA,R,1AY,50,1354.0,1.535,6.76,-3.6849999999999996,9909902602,-71.10006,47.31104
0,0,5,Absent,20,NA,R,1AY,50,20,NA,R,1A,50,1218.0,0.735,5.779999999999999,-4.3149999999999995,9909902602,-71.10006,47.31104
1,1,11,Present,20,CDL,F,1A,70,20,NA,F,1A,90,1174.0,1.67,7.07,-3.73,9209602101,-68.585983,47.44929
1,1,10,Present,NA,NA,M,NA,90,NA,NA,M,NA,90,1065.5,2.26,7.365,-2.85,7601100501,-66.0326,48.249606
1,1,11,Present,NA,NA,M,NA,90,20,NA,F,8AY,10,931.0,2.2649999999999997,7.165,-2.64,7601100501,-66.0326,48.249606
1,0,6,Extinction,20,NA,F,8AY,10,20,NA,NA,8AY,NA,938.5,2.73,7.584999999999999,-2.125,7601100501,-66.0326,48.249606
0,0,12,Absent,NA,NA,R,NA,30,NA,NA,R,NA,30,1176.0,1.1099999999999999,7.050000000000001,-4.82,7609602501,-73.249178,47.049489
0,0,9,Absent,NA,NA,R,NA,30,40,NA,R,4GS,50,1080.0,1.345,7.325,-4.63,7609602501,-73.249178,47.049489
0,0,13,Absent,40,NA,R,4GS,50,40,NA,R,4GS,10,1089.5,2.645,8.355,-3.065,7609602501,-73.249178,47.049489
1,1,11,Present,20,CJ,F,1A,90,30,CP,F,1AY,VIN,1145.5,2.14,7.609999999999999,-3.325,9209602402,-68.517627,47.48258
0,0,12,Absent,NA,NA,R,NA,120,50,NA,R,7E,120,1076.5,-1.8849999999999998,2.82,-6.6,8902203702,-62.476208,51.783944
0,0,12,Absent,NA,CHP,R,NA,NA,NA,NA,R,NA,90,1121.0,1.12,7.27,-5.029999999999999,7607904001,-74.415276,47.183043
0,0,10,Absent,NA,NA,R,NA,90,60,NA,R,7E,90,1047.5,2.84,8.82,-3.135,7607904001,-74.415276,47.183043
0,0,12,Absent,60,NA,R,7E,90,60,NA,R,7E,120,1007.5,4.175,9.875,-1.525,7607904001,-74.415276,47.183043
0,0,8,Absent,NA,NA,R,NA,10,30,NA,R,1A,10,892.5,-1.065,4.515,-6.645,9100302101,-69.753055,51.348071
0,0,6,Absent,NA,NA,R,NA,70120,NA,NA,R,NA,70120,738.5,0.715,6.825,-5.404999999999999,7501408701,-78.91618,49.965423
