"id_plot","yr_measured","lat","lon","ers","drainage","disturbance","cover_type","soil","age_stand","annual_pp","annual_mean_temp","annual_min_temp","annual_max_temp"
8809405301,2005,-78.445124,47.583954,NA,20,NA,"M","R1A","10",737,3.39,-2.63,9.41
8902201801,2002,-61.148218,51.383818,NA,30,NA,"R","1AM","120",1091,-1.14,-5.39,3.11
8902300402,2003,-59.578733,50.619306,NA,30,NA,"R","5S","30",1041,3.07,-1.18,7.31
8909202101,1998,-72.739044,47.732208,NA,20,NA,"M","3AN","70",941,4.46,-1.13,10.05
9003202502,1999,-77.231802,51.452623,NA,31,NA,"R","1A","10",908,0.71,-4.79,6.22
9003304001,1999,-74.844541,51.519444,NA,30,NA,"R","1A","50",954,0.35,-5.05,5.74
9203000402,2000,-69.744289,47.379586,NA,40,NA,"M","1AY","50",1175,2.68,-2.47,7.82
9203621702,2003,-70.093825,47.948573,NA,30,NA,"F","1AY","70",1155,1.32,-3.63,6.26
9204101401,2003,-75.833385,45.93324,0.16039479832719,30,NA,"F","1AY","VIN",1159,3.63,-2.05,9.32
9204301501,2010,-73.616023,49.033929,NA,30,NA,"R","1A","10",950,3.05,-2.25,8.35
9305004002,2003,-76.437894,47.868395,NA,30,NA,"F","1AY","50",992,1.29,-4.68,7.26
9402301501,1994,-76.532994,45.783426,NA,30,NA,"F","1A","50",880,4.08,-1.82,9.98
9409801002,1994,-69.865875,47.112239,NA,30,NA,"R","1A","10",1155,2.39,-2.64,7.42
9609742801,1996,-63.621579,50.229408,NA,20,NA,"R","6S","50",1072,2.51,-1.94,6.97
9701201001,2010,-79.132277,48.616871,NA,40,NA,"F","4GA","50",770,3.89,-1.24,9.01
9801700101,1998,-73.819751,45.131814,NA,40,NA,"F","1A","5050",988,8.32,3.5,13.14
9809902302,1998,-71.171668,47.279725,NA,20,NA,"R","1A","50",1493,1.74,-3.36,6.83
7000403501,1997,-71.73173,45.482906,NA,30,NA,"M","1AY","3010",1106,4.43,-0.85,9.71
7000501602,1997,-73.116478,45.353421,0.0392958263092645,40,NA,"F","1A","VIN",1045,5.55,0.38,10.71
7009900402,1995,-71.15111,47.936918,NA,30,NA,"R","1A","30",1321,-0.14,-5.33,5.04
7100810702,2006,-75.181992,46.471046,NA,30,NA,"M","1AY","VIN",1321,4.81,-0.53,10.16
7109504301,2006,-75.150287,47.133435,NA,40,NA,"R","1A","70",1261,4.27,-1.03,9.57
7109610101,2006,-75.617267,46.984207,NA,30,NA,"M","1A","JIN",1207,4.88,-0.39,10.14
7109900302,1994,-76.683158,45.986395,0.659393594450942,20,NA,"F","1AY","VIN",894,3.66,-2.22,9.55
